SEXO,EDAD,NIVEL_EDUCATIVO,ETNIA,TUVO_TRABAJO,TIPO_TRABAJADOR,BUSCA_OTRO_TRABAJO,NIVEL_OCUPACION,REGISTRO_SUNAT,TAMANO_EMPRESA,QUIERE_MAS_HORAS,LIBROS_CONTABLES,FRECUENCIA_PAGO,INGRESO_PRINCIPAL,LIMIT_MOVIMIENTO,LIMIT_VISION,LIMIT_COMUNICACION,LIMIT_AUDICION,LIMIT_APRENDIZAJE,LIMIT_RELACION,SEGURO_SALUD,DIAS_AUSENTE
1,72,6,8,1,1.0,2.0,1,1.0,5.0,2.0,,,70000.0,2,2,2,2,2,2,1,2.0
2,60,12,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,43970.0,2,2,2,2,2,2,3,2.0
1,62,12,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,33525.0,2,2,2,2,2,2,3,2.0
1,57,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,28000.0,1,2,2,2,2,2,1,2.0
1,58,11,7,1,3.0,2.0,1,1.0,3.0,1.0,,4.0,25451.0,2,2,2,2,2,2,3,2.0
2,62,11,6,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,25001.0,2,2,2,2,2,2,3,2.0
2,57,11,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,20467.0,2,2,2,2,2,2,3,2.0
1,53,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,19025.0,2,2,2,2,2,2,3,2.0
1,49,11,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,18750.0,2,2,2,2,2,2,3,2.0
1,51,11,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,18750.0,2,2,2,2,2,2,1,2.0
1,41,11,7,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,18750.0,2,2,2,2,2,2,3,2.0
1,45,12,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,18416.0,2,2,2,2,2,2,1,2.0
1,65,11,7,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,18104.0,2,2,2,2,2,2,3,2.0
1,53,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,18050.0,2,2,2,2,2,2,1,2.0
1,36,11,7,1,1.0,2.0,1,1.0,1.0,2.0,,,18000.0,2,2,2,2,2,2,1,2.0
1,35,11,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,17501.0,2,2,2,2,2,2,3,2.0
1,37,11,7,1,2.0,2.0,1,1.0,1.0,1.0,,,17500.0,2,2,2,2,2,2,1,2.0
1,48,12,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,17499.0,2,2,2,2,2,2,1,2.0
1,42,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,16712.0,2,2,2,2,2,2,3,2.0
2,52,12,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,16449.0,2,2,2,2,2,2,3,2.0
1,44,11,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,16000.0,2,2,2,2,2,2,1,2.0
1,57,12,6,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,16000.0,2,2,2,2,2,2,3,2.0
1,54,6,7,1,1.0,2.0,1,1.0,1.0,1.0,,,16000.0,2,2,2,2,2,2,5,2.0
1,56,12,6,1,3.0,2.0,1,1.0,2.0,1.0,,4.0,15833.0,2,2,2,2,2,2,3,2.0
2,51,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,15650.0,2,2,2,2,2,2,3,2.0
1,29,10,7,1,2.0,2.0,1,2.0,1.0,1.0,2.0,,15600.0,2,2,2,2,2,2,1,2.0
1,42,6,2,1,2.0,2.0,1,1.0,1.0,1.0,,,15250.0,2,2,2,2,2,2,6,2.0
1,62,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,15050.0,2,2,2,2,2,2,1,2.0
1,66,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,15050.0,2,2,2,2,2,2,1,2.0
2,58,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,15050.0,2,2,2,2,2,2,2,2.0
2,39,11,6,2,1.0,2.0,1,1.0,1.0,2.0,,,15000.0,2,2,2,2,2,2,1,2.0
1,44,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,15000.0,2,2,2,2,2,2,1,2.0
2,55,11,7,1,3.0,2.0,1,1.0,2.0,1.0,,4.0,15000.0,2,2,2,2,2,2,3,2.0
2,49,11,7,1,1.0,2.0,1,1.0,1.0,2.0,,,15000.0,2,2,2,2,2,2,1,2.0
1,41,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,14666.0,2,2,2,2,2,2,3,2.0
1,50,12,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,14666.0,2,2,2,2,2,2,1,2.0
1,60,12,6,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,14083.0,2,2,2,2,2,2,3,2.0
2,47,11,7,1,3.0,2.0,1,,5.0,1.0,,4.0,14050.0,2,2,2,2,2,2,1,2.0
2,51,11,8,1,1.0,2.0,1,1.0,1.0,2.0,,,14000.0,2,2,2,2,2,2,2,2.0
1,56,11,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,13889.0,2,2,2,2,2,2,3,2.0
1,44,11,7,2,3.0,2.0,1,1.0,4.0,2.0,,4.0,13776.0,1,2,2,2,2,2,1,2.0
2,46,12,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,13751.0,2,2,2,2,2,2,3,2.0
